seed,numerRuns,rounds,outcome
2354114130003556019,1,20,loss
2354114130003556019,2,20,loss
2354114130003556019,3,20,loss
2354114130003556019,4,20,loss
2354114130003556019,5,20,loss
1555226649045737289,1,36,win
1555226649045737289,2,36,win
1555226649045737289,3,36,win
1555226649045737289,4,36,win
1555226649045737289,5,36,win
3793955728901198720,1,61,win
3793955728901198720,2,61,win
3793955728901198720,3,61,win
3793955728901198720,4,61,win
3793955728901198720,5,61,win
2737574676939369233,1,5,loss
2737574676939369233,2,5,loss
2737574676939369233,3,5,loss
2737574676939369233,4,5,loss
2737574676939369233,5,5,loss
7908247182877271265,1,28,win
7908247182877271265,2,28,win
7908247182877271265,3,28,win
7908247182877271265,4,28,win
7908247182877271265,5,28,win
3533038443942361479,1,36,loss
3533038443942361479,2,36,loss
3533038443942361479,3,36,loss
3533038443942361479,4,36,loss
3533038443942361479,5,36,loss
2653768840283059395,1,46,loss
2653768840283059395,2,46,loss
2653768840283059395,3,46,loss
2653768840283059395,4,46,loss
2653768840283059395,5,46,loss
4899634942334167179,1,15,win
4899634942334167179,2,15,win
4899634942334167179,3,15,win
4899634942334167179,4,15,win
4899634942334167179,5,15,win
6031341505220896000,1,40,loss
6031341505220896000,2,40,loss
6031341505220896000,3,40,loss
6031341505220896000,4,40,loss
6031341505220896000,5,40,loss
7790894277537140938,1,64,win
7790894277537140938,2,64,win
7790894277537140938,3,64,win
7790894277537140938,4,64,win
7790894277537140938,5,64,win
2383487633774627016,1,28,loss
2383487633774627016,2,28,loss
2383487633774627016,3,28,loss
2383487633774627016,4,28,loss
2383487633774627016,5,28,loss
5588388822426169508,1,42,loss
5588388822426169508,2,42,loss
5588388822426169508,3,42,loss
5588388822426169508,4,42,loss
5588388822426169508,5,42,loss
5352970468879326438,1,48,loss
5352970468879326438,2,48,loss
5352970468879326438,3,48,loss
5352970468879326438,4,48,loss
5352970468879326438,5,48,loss
1660303738240527464,1,35,loss
1660303738240527464,2,35,loss
1660303738240527464,3,35,loss
1660303738240527464,4,35,loss
1660303738240527464,5,35,loss
5058891178089252933,1,13,loss
5058891178089252933,2,13,loss
5058891178089252933,3,13,loss
5058891178089252933,4,13,loss
5058891178089252933,5,13,loss
8745753776316627893,1,48,win
8745753776316627893,2,48,win
8745753776316627893,3,48,win
8745753776316627893,4,48,win
8745753776316627893,5,48,win
2163025870344800901,1,26,loss
2163025870344800901,2,26,loss
2163025870344800901,3,26,loss
2163025870344800901,4,26,loss
2163025870344800901,5,26,loss
2680598992775855693,1,41,loss
2680598992775855693,2,41,loss
2680598992775855693,3,41,loss
2680598992775855693,4,41,loss
2680598992775855693,5,41,loss
6911046112892084860,1,22,loss
6911046112892084860,2,22,loss
6911046112892084860,3,22,loss
6911046112892084860,4,22,loss
6911046112892084860,5,22,loss
4057033758412541974,1,59,loss
4057033758412541974,2,59,loss
4057033758412541974,3,59,loss
4057033758412541974,4,59,loss
4057033758412541974,5,59,loss
5471027468969138089,1,16,loss
5471027468969138089,2,16,loss
5471027468969138089,3,16,loss
5471027468969138089,4,16,loss
5471027468969138089,5,16,loss
4999390561313132813,1,23,loss
4999390561313132813,2,23,loss
4999390561313132813,3,23,loss
4999390561313132813,4,23,loss
4999390561313132813,5,23,loss
1927736122700096641,1,13,loss
1927736122700096641,2,13,loss
1927736122700096641,3,13,loss
1927736122700096641,4,13,loss
1927736122700096641,5,13,loss
8207604492108388553,1,85,loss
8207604492108388553,2,85,loss
8207604492108388553,3,85,loss
8207604492108388553,4,85,loss
8207604492108388553,5,85,loss
8767707696579909407,1,47,loss
8767707696579909407,2,47,loss
8767707696579909407,3,47,loss
8767707696579909407,4,47,loss
8767707696579909407,5,47,loss
1339689051402702722,1,45,win
1339689051402702722,2,45,win
1339689051402702722,3,45,win
1339689051402702722,4,45,win
1339689051402702722,5,45,win
7948866971540861568,1,22,loss
7948866971540861568,2,22,loss
7948866971540861568,3,22,loss
7948866971540861568,4,22,loss
7948866971540861568,5,22,loss
390839057952019966,1,12,loss
390839057952019966,2,12,loss
390839057952019966,3,12,loss
390839057952019966,4,12,loss
390839057952019966,5,12,loss
8818158220649431922,1,61,loss
8818158220649431922,2,61,loss
8818158220649431922,3,61,loss
8818158220649431922,4,61,loss
8818158220649431922,5,61,loss
5510712907088561715,1,21,win
5510712907088561715,2,21,win
5510712907088561715,3,21,win
5510712907088561715,4,21,win
5510712907088561715,5,21,win
8738104107391883451,1,27,loss
8738104107391883451,2,27,loss
8738104107391883451,3,27,loss
8738104107391883451,4,27,loss
8738104107391883451,5,27,loss
1492740178477113437,1,34,win
1492740178477113437,2,34,win
1492740178477113437,3,34,win
1492740178477113437,4,34,win
1492740178477113437,5,34,win
4990963997358588916,1,25,win
4990963997358588916,2,25,win
4990963997358588916,3,25,win
4990963997358588916,4,25,win
4990963997358588916,5,25,win
896507609156146183,1,31,loss
896507609156146183,2,31,loss
896507609156146183,3,31,loss
896507609156146183,4,31,loss
896507609156146183,5,31,loss
7717695466245151092,1,30,win
7717695466245151092,2,30,win
7717695466245151092,3,30,win
7717695466245151092,4,30,win
7717695466245151092,5,30,win
7063191914817641084,1,28,win
7063191914817641084,2,28,win
7063191914817641084,3,28,win
7063191914817641084,4,28,win
7063191914817641084,5,28,win
3494323950795073577,1,5,loss
3494323950795073577,2,5,loss
3494323950795073577,3,5,loss
3494323950795073577,4,5,loss
3494323950795073577,5,5,loss
648477253167228109,1,21,win
648477253167228109,2,21,win
648477253167228109,3,21,win
648477253167228109,4,21,win
648477253167228109,5,21,win
7330333617289615938,1,23,loss
7330333617289615938,2,23,loss
7330333617289615938,3,23,loss
7330333617289615938,4,23,loss
7330333617289615938,5,23,loss
5731469511689282848,1,45,loss
5731469511689282848,2,45,loss
5731469511689282848,3,45,loss
5731469511689282848,4,45,loss
5731469511689282848,5,45,loss
8274084597206075200,1,48,loss
8274084597206075200,2,48,loss
8274084597206075200,3,48,loss
8274084597206075200,4,48,loss
8274084597206075200,5,48,loss
6119833170559367749,1,27,loss
6119833170559367749,2,27,loss
6119833170559367749,3,27,loss
6119833170559367749,4,27,loss
6119833170559367749,5,27,loss
6375355212484871240,1,52,loss
6375355212484871240,2,52,loss
6375355212484871240,3,52,loss
6375355212484871240,4,52,loss
6375355212484871240,5,52,loss
6901462855969720877,1,32,loss
6901462855969720877,2,32,loss
6901462855969720877,3,32,loss
6901462855969720877,4,32,loss
6901462855969720877,5,32,loss
7757255811592434990,1,31,win
7757255811592434990,2,31,win
7757255811592434990,3,31,win
7757255811592434990,4,31,win
7757255811592434990,5,31,win
732819297051854592,1,74,loss
732819297051854592,2,74,loss
732819297051854592,3,74,loss
732819297051854592,4,74,loss
732819297051854592,5,74,loss
