seed,numerRuns,rounds,outcome
7308944401748610220,1,35,loss
1444640385835657757,1,29,win
7240478981602540323,1,49,loss
1633234943118241545,1,35,win
8390653630781149701,1,33,loss
1473556758265353782,1,28,loss
8314158052197798357,1,83,win
3543475700051086097,1,51,loss
2087672317036270287,1,33,win
5912086749646690777,1,59,loss
4246282512190400694,1,68,win
2419230882915499703,1,51,win
7601470300726802814,1,42,win
6768593128306036861,1,25,win
3169000223259022531,1,77,win
6550703411938299778,1,42,win
7975391242112840866,1,30,win
4014885666359783796,1,54,loss
6945926994581269512,1,21,win
4333511729326177999,1,26,loss
8679154434895683891,1,59,loss
2857357661659502931,1,44,win
1923252699116152489,1,98,win
7305902454007097271,1,33,loss
4837945594281717425,1,26,win
3089977284209772015,1,32,win
6165185127260816449,1,15,win
1607619366435103934,1,22,win
930984728016993694,1,32,win
7210367545112386353,1,21,win
3398174817896376452,1,36,win
1448102818340434349,1,79,win
7017622564400749891,1,24,loss
5524536823120653034,1,51,win
2729093369388382693,1,78,loss
7489878944141468196,1,33,win
8137014329408456315,1,73,win
2296197957346607023,1,30,win
9052139064494898316,1,57,win
5736474184515007225,1,45,loss
6938589294059216956,1,29,win
2992052333790058084,1,85,win
1592028189205380494,1,38,win
3015683651654958820,1,75,loss
8117995980982949995,1,61,win
2402262016326289752,1,24,win
7884368084026741693,1,24,win
841949202784538247,1,5,loss
399003559713871256,1,40,loss
7450155929672645705,1,43,win
822826450256670435,1,20,win
5025695129490190462,1,16,win
2607294237534155855,1,23,win
5153583539824114158,1,39,win
7506423223422383318,1,28,win
1062300256269339408,1,18,loss
99299161859182064,1,34,win
3359542267195368500,1,30,win
2655421944947879424,1,19,win
4498588533063253269,1,34,win
8342552939515190333,1,44,win
6419846372114872057,1,105,win
8984030976962139884,1,37,loss
7304473519847915047,1,115,loss
2470965315599733274,1,30,loss
7578435823547324203,1,22,win
3257521329098332155,1,40,win
923241133829246949,1,49,win
5901773877923316588,1,21,loss
7392103357046400212,1,23,loss
4193272191510101707,1,71,win
6065300882142398124,1,22,loss
2472794158843959922,1,53,win
8638587120892232235,1,23,win
197829402393967064,1,17,win
5890341322427515889,1,80,win
3894668493294523833,1,72,win
7191330266827960664,1,20,loss
3852345210108345680,1,16,win
8120950642212605977,1,26,win
3958154184087704168,1,34,win
